time_h,mode,T_btes_C,T_aria_C,Tw_in_C,Tw_out_C,Q_rtc_W,Q_dc_W,Q_solar_W,Q_dc_demand_W,T_dc_ret_C,Ta_C,Tb_C,Tc_C,Td_C,n_iter,mpc_best_reward,threshold_mode,threshold_reward,mpc_gain,mpc_changed,mpc_n_candidates
1218.0,idle,20.461047916331534,25.8,,,0.0,0.0,0.0,0.0,25.8,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,0.0,idle,0.0,0.0,False,1
1219.0,idle,20.423587646068512,25.1,,,0.0,0.0,0.0,0.0,25.1,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,0.0,idle,0.0,0.0,False,1
1220.0,idle,20.399999192346403,24.4,,,0.0,0.0,0.0,0.0,24.4,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,0.0,idle,0.0,0.0,False,1
1221.0,idle,20.383194322435244,24.0,,,0.0,0.0,0.0,0.0,24.0,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,0.503370611652225,idle,0.503370611652225,0.0,False,1
1222.0,idle,20.37076262905648,23.5,,,0.0,0.0,0.0,0.0,23.5,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,0.9824083199275064,idle,0.9824083199275064,0.0,False,1
1223.0,idle,20.36112481563811,23.1,,,0.0,0.0,0.0,0.0,23.1,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,1.4636168828700262,idle,1.4636168828700262,0.0,False,1
1224.0,idle,20.352987766745336,22.7,,,0.0,0.0,0.0,0.0,22.7,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,2.0086355587372595,idle,2.0086355587372595,0.0,False,1
1225.0,idle,20.346234164736217,22.3,,,0.0,0.0,0.0,0.0,22.3,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,2.614728599392352,idle,2.614728599392352,0.0,False,1
1226.0,idle,20.340460125386983,21.9,,,0.0,0.0,0.0,0.0,21.9,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,3.256992794535326,idle,3.256992794535326,0.0,False,1
1227.0,idle,20.33551361930258,21.8,,,0.0,0.0,0.0,0.0,21.8,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,3.9267073037788665,idle,3.9267073037788665,0.0,False,1
1228.0,idle,20.331217083866996,22.0,,,0.0,0.0,0.0,0.0,22.0,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,4.5966921618140955,idle,4.5966921618140955,0.0,False,1
1229.0,idle,20.327428749790705,22.1,,,0.0,0.0,0.0,0.0,22.1,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,5.214002128907829,idle,5.214002128907829,0.0,False,1
1230.0,idle,20.32401540609728,21.9,,,0.0,0.0,0.0,0.0,21.9,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,5.742425495020179,idle,5.742425495020179,0.0,False,1
1231.0,idle,20.320922338805246,23.1,,,0.0,0.0,0.0,0.0,23.1,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,1,5.742425495020179,idle,5.742425495020179,0.0,False,1
1232.0,charge,20.669339201128334,25.1,20.66933920112831,20.78935330852471,528.7559209478229,0.0,515.7455000001607,0.0,25.1,36.45532464268098,21.790168722048406,21.950643707590814,21.22653895620556,2,5.746863741499846,charge,5.746863741499846,0.0,False,2
